source,target,source example,target example,source language,target language,source segment,url,comment
"completamente","completely","Sarebbe rischioso affiancare realtà completamente diverse.","There would be a risk in lumping together completely different situations.","it","en","","",""
"con discrezione","discreetly","Sarete lì per arrestarla... con discrezione.","You'll be there to grab her... discreetly.","it","en","","","with discretion, quietly"
"con gentilezza","gently","Non dubito che... siano trattate con gentilezza.","I'm sure they'll be treated gently.","it","en","Una deriva preoccupante che Wonderful Copenaghen intende scongiurare con gentilezza e astuzia","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","kindly, nicely"
"con scrupolo","with care","Ne sono pienamente soddisfatta, tutte le modifiche richieste, fatte con scrupolo e professionalità.","I am fully satisfied, all requested changes, made with care and professionalism.","it","en","","",""
"con sé","with him","Lo porterà con sé alla riunione.","He'll have it in the room with him.","it","en","","","with it, with them"
"condivido","I share","Vorrei semplicemente dire che li condivido.","I would simply like to say that I share them.","it","en","","","I agree with, I support"
"condurre","lead","Tutte le varie ramificazioni sembravano condurre ad esso.","All the other various branches seemed to lead to it.","it","en","","","conduct, carry out"
"confine","border","Raccoglieremo informazioni e torneremo al confine.","We'll get the news and go to the border.","it","en","","","boundary, line"
"confondere","confuse","Non lasciarti confondere dalla comodità dei numeri.","Don't let the comfort of numbers confuse you.","it","en","","","be confused, mistake"
"confrontarsi","confront","Perciò è andata al locale per confrontarsi con lui.","So you went to the club to confront him.","it","en","","","face, deal"
"confronto","comparison","E poi faremo un confronto calligrafico.","And then we'll do a handwriting comparison.","it","en","","","confrontation, discussion"
"conoscente","acquaintance","Più un conoscente che un amico.","Really more of an acquaintance than a friend.","it","en","","","friend, associate"
"conoscenza","knowledge","Per durare, l'acquisizione della conoscenza dev'essere tangibile.","If it's to last, then the getting of knowledge should be... tangible.","it","en","","","understanding, awareness"
"conoscere a fondo","get to know","Perdonami, volevo conoscere a fondo la tua vera potenza.","Forgive me! I wanted to get to know your true power.","it","en","","","master, know in depth"
"conoscere a malapena","knew Jonjo","Se dici di aver avuto il numero da Zoe e di conoscere a malapena Jonjo,","If you say you got the number from Zoe and knew Jonjo slightly, I believe you.","it","en","","",""
"conoscersi","know each other","I partecipanti non dovevano neanche conoscersi.","The group wasn't even supposed to know each other.","it","en","","","meet, get acquainted"
"conquistare","conquer","Rimane solo da conquistare l'anima.","All that's left is to conquer the soul.","it","en","","","win, gain"
"consapevole","aware","Sono consapevole delle avversità che stiamo affrontando.","I am aware of the challenges that we are facing.","it","en","speriamo che i visitatori si sentano ispirati a fare scelte più consapevoli sulle azioni ecologiche quando tornano a casa, e che altre destinazioni turistiche creino programmi simili","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","conscious, informed"
"consapevolezza","awareness","E crea consapevolezza sulla truffa dello stesso sistema bancario.","And create awareness about the fraud of the banking system itself.","it","en","Ovviamente Copenaghen non si può paragonare, a livello di volumi di visite, a Venezia, Barcellona o Amsterdam, ma anche qui il numero di turisti sta aumentando, diffondendo abitudini di vita diverse e una consapevolezza dell’impatto sull’ambiente spesso minore di quella dei danesi","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","consciousness, knowledge"
"consapevolezza dell'impatto","awareness of the impact","Una consapevolezza dell'impatto della tecnologia sulla nostra società.","An awareness of the impact of technology on our society.","it","en","Ovviamente Copenaghen non si può paragonare, a livello di volumi di visite, a Venezia, Barcellona o Amsterdam, ma anche qui il numero di turisti sta aumentando, diffondendo abitudini di vita diverse e una consapevolezza dell’impatto sull’ambiente spesso minore di quella dei danesi","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","awareness about the impact, understanding of the impact"
"considerare","consider","E deve considerare qualsiasi opzione disponibile.","And he has to consider every possible option available to him.","it","en","","",""
"consolare","consular","I documenti vengono infine trasmessi alla sezione consolare dell'ambasciata.","The documents are then forwarded to the consular department of the embassy.","it","en","","","console, comfort"
"constatare","see","Qui possiamo constatare la tecnica degli uomini preistorici.","And here we can see the technique of prehistoric man.","it","en","","","note, find"
"contagiare","infect","Le pecore assassine hanno cominciato a contagiare altri animali con la loro intelligenza sorprendente.","But soon the killer sheep began to infect other animals with its startling intelligence.","it","en","","","rub off on, be contagious"
"contare","count","Dovevamo stare assolutamente fermi... per farci contare.","We had to stand absolutely still... and they would count us.","it","en","","","rely, depend"
"contenente","containing","Sonder conservò un'estesa raccolta botanica contenente centinaia di migliaia di esemplari.","Sonder kept a very extensive botanical collection, containing hundreds of thousands of specimens.","it","en","","","including, contained"
"continuare a","continue to","E non posso continuare a pensarti.","And I can not continue to think of you.","it","en","","","keep, go on"
"contraddire","contradict","Mi puoi contraddire in qualsiasi momento.","You can contradict me here at any time.","it","en","","",""
"contrapporsi","oppose","Non contrapporsi ai nomi di quelli che sono stati scelti come eroi.","Do not oppose the list of those who have been chosen as heroes.","it","en","","","counteract, counter"
"controllare","control","Vogliono controllare la tecnologia senza interferenze dei civili.","They want to control the technology without any interference from civilian scientists.","it","en","","","check, monitor"
"controvoglia","unwillingly","Il doganiere apre controvoglia una fessura nel finestrino della garitta.","The customs officer unwillingly opens a cleft in the window of the sentry box.","it","en","","","begrudgingly, grudgingly"
"convinto di","convinced of","Non sembra convinto di quello che dice.","You don't sound very convinced of that.","it","en","","https://classroom.italki.com/r/6359326278","sure about, confident"
"coperto","covered","Sarà coperto fino alle nuove polizze.","So you'll be covered until the new policies are issued.","it","en","","","indoor, cover"
"coprire","cover","Possiamo coprire questo sentiero e attaccarli quando passano.","We can cover this trail and finish them off when they come through.","it","en","","","meet, fill"
"corazza","armor","Ho chiesto se i proiettili dei mitra perforavano la corazza.","I asked them if the machine-gun bullets pierced the armor.","it","en","","","armour, shell"
"cornice","frame","Tagliarla dalla cornice elude gli allarmi.","Cutting it out of the frame circumvents the alarms.","it","en","","",""
"corpulento","burly","E non lo fare, ho un ragazzo grande e corpulento che può atterrare un vitello in 8 secondi.","And don't do that, I have a big, burly boyfriend who can bring a calf - to its knees in 8 seconds flat.","it","en","","","corpulent, portly"
"correggere","correct","Comunque, fra qualche settimana potrà correggere le bozze.","Anyway, you'll have the proofs to correct in a few weeks.","it","en","","","fix, rectify"
"correttezza","correctness","Ma la correttezza della versificazione è monotona.","But the very correctness of the versification renders it monotonous.","it","en","","",""
"corridoio","corridor","Ha percorso tutto il corridoio scambiandole.","He was going up the corridor swapping 'em.","it","en","","","hallway, hall"
"corrispondenza","correspondence","Si occuperà della corrispondenza sulle attività dei satelliti.","You'll be dealing with correspondence that relates to the activities of the satellites.","it","en","","","match, matching"
"corrisposto","paid","Il contributo alla vostra salute viene corrisposto dall'assicurazione complementare ambulatoriale.","The contribution towards your healthy lifestyle is paid under the supplementary outpatient insurance.","it","en","","","unrequited, payable"
"corteccia","bark","Ha strappato la corteccia dagli alberi.","He has stripped the bark of the tree.","it","en","","",""
"corteggiamento","courtship","Non sono inesperto nell'arte del corteggiamento.","I am not unskilled in the ways of courtship.","it","en","","","courting, wooing"
"così come","as well as","Aspetteremo il diavolo traditore, così come tuo fratello.","We will wait for the treacherous devil, as well as your brother.","it","en","","","just like, along with"
"così su due piedi","offhand","Non lo so così su due piedi, ma sono sicura di poterlo scoprire.","I don't know offhand, but I'm sure I could figure it out.","it","en","così su due piedi","https://classroom.italki.com/r/3121345678","right off the bat, off the top of your head"
"cosidetto","so-called","Tutti questi cosidetto esperti, sono uno spreco di tempo e denaro prezioso.","All those so-called experts, it's a waste of valuable time and money.","it","en","","",""
"costeggiare","skirt","Accettai subito e cominciammo a costeggiare quel nuovo oceano.","I accepted eagerly, and we began to skirt this new ocean.","it","en","","","walk along, coast"
"costituire","constitute","Abbastanza decerebrato da costituire un valido argomento a favore dell'eugenetica.","Sufficiently asinine as to constitute a valid argument for eugenics.","it","en","","","form, establish"
"costringere","force","Forse possiamo costringere il parassita ad uscire.","Maybe we can force the parasite out of her.","it","en","","","compel, make"
"costruire","build","Puoi costruire una pace migliore con partner onesti.","You can build a better peace, with honest partners.","it","en","","","construct, make"
"covare","hatch","Tutta la curva riempita, il cliente può decidere di covare la linea stile.","Any curve filled, the customer can decide to hatch line style.","it","en","","","brood, incubate"
"covato","hatched","Quelli che ho covato alla fiera di scienze.","The ones I hatched for the science fair.","it","en","","","incubated, brooded"
"crepuscolo","twilight","Una sera al crepuscolo li vidi arrivare.","One evening in the twilight I saw them coming.","it","en","","","dusk, nightfall"
"crivellato","riddled","Il poveretto è stato portato da me assolutamente crivellato.","The poor fellow was brought in to me absolutely riddled.","it","en","","","bullet-riddled, shot up"
"crociera","cruise","Potrebbe essersi offerta di pagarmi una crociera.","She might have offered to buy me a cruise...","it","en","","https://classroom.italki.com/r/7110385678","cruising, cross"
"crollare","collapse","Non possiamo lasciarti entrare, potrebbe crollare.","We can't let you go in, it might collapse.","it","en","","",""
"crollato","collapsed","Per allora, sarà crollato tutto.","By then, all this will have collapsed.","it","en","","",""
"cruento","bloody","Successivamente essa assunse il valore metaforico di sacrificio estremo particolarmente cruento.","Subsequently it assumed the metaphoric value of particularly bloody extreme sacrifice.","it","en","","","gory, cruel"
"cumulo","cumulation","Si è pertanto ritenuto che le condizioni per il cumulo sono state soddisfatte.","It was therefore considered that the conditions for cumulation were met.","it","en","","","pile, heap"
"cupo","dark","Amico, questo è un pensiero cupo.","Man, that's a dark thought.","it","en","","",""
"curiosamente","curiously","Sei curiosamente calmo da 20 minuti.","You've been curiously quiet for 20 minutes.","it","en","","",""
"D'ora in poi","from now on","D'ora in poi ci sarà anche lui.","He's going to be a part of this from now on.","it","en","","",""
"d'ora in poi","from now on","Sarò più responsabile d'ora in poi e morirà.","I'll be in charge from now on and he will die.","it","en","","","henceforth, from here on out"
"d'ora in poi","now","Dovremo cavarcela da sole d'ora in poi.","We'll have to get along by ourselves now.","it","en","","",""
"d’altro canto","on the other hand","Ma d'altro canto sarebbe ancora vivo.","But on the other hand, he'd still be alive.","it","en","","","furthermore, moreover"
"d’istinto","instinctively","Tutti i mammiferi di questo pianeta... sviluppano d'istinto un equilibrio naturale con l'ambiente circostante.","Every mammal on this planet... instinctively develops an equilibrium with the surrounding environment.","it","en","","","by instinct, on instinct"
"da adulto","adult","Devi fare difficili decisioni da adulto.","You need to make tough adult choices now.","it","en","","https://classroom.italki.com/r/6359326278","grown-up, as adults"
"da allora","since then","Abbiamo entrambi fatto strada da allora.","We've both come a ways since then.","it","en","","","since, ever since"
"da allora in poi","from then on","E da allora in poi ho continuamente menzionato mia moglie e la separazione.","And from then on, every few minutes, I'd mention my wife and the separation...","it","en","","",""
"da cui","from which","Assomigliava un po' alla fattoria da cui proveniva.","He looked a little like the farm from which he had come.","it","en","","","from where, hence"
"da nessun parte","nowhere","Al di sopra la preghiera della pioggia, un blu sterminato, non il paradiso, che non va da nessun parte, senza fine.","Above the prayer of rain, unacred blue, not paradise, goes nowhere endlessly.","it","en","","",""
"da soli","alone","Non credo potremo farcela da soli.","I don't think we can swing it alone.","it","en","","","on their own, on your own"
"da solo","alone","Volevo vedere il museo da solo.","I wanted to see the museum alone, I don't like crowds.","it","en","","","by yourself, on your own"
"da un lato","on the one hand","Perché da un lato si spinge troppo oltre, fa cose orribili.","Because on the one hand, he goes too far, does awful things.","it","en","","","on one side, on one hand"
"da un momento all'altro","any minute now","","","it","en","","",""
"dall'altra parte","on the other side","Vi raggiungerà domani dall'altra parte.","She'll meet you tomorrow on the other side.","it","en","","","on the other hand, the other way"
"dall'aspetto","looking","Era sulla cinquantina, dall'aspetto decoroso, indossava uno smoking vecchio stile.","He was maybe 50, proper looking, wearing an old-school tuxedo.","it","en","","",""
"danneggiato","damaged","Non sappiamo quanto il cervello sia danneggiato.","We don't know, how badly the brain was damaged.","it","en","","",""
"dappertutto","everywhere","Tu devi capire, sono dappertutto.","You have to understand, they're everywhere.","it","en","","https://classroom.italki.com/r/2515340088","all over the world, all over the place"
"dare fastidio","annoy","Per dare fastidio ad un certo signore che crede di possedere quest'isola.","To annoy a certain gentleman who thinks he owns this rock.","it","en","","",""
"dare per scontata","take for granted","Non dobbiamo dare per scontata questa domanda.","This is not a question that we can take for granted.","it","en","","","take it for granted, be taken for granted"
"dare per scontato","assume","Non si può dare per scontato che tutti gli infarti siano dovuti a una valvola difettosa.","We can't assume that if they died of heart attack it's because they had a defective valve.","it","en","","","take for granted, take it for granted"
"datato","dated","Ho qui qualcosa datato ieri sera.","I got something that's dated yesterday evening.","it","en","","",""
"davanti","in front of","Ci incontriamo davanti al centro ricerche.","Meet us in front of the research center.","it","en","","",""
"davanti a","in front of","Preferirei non dirlo davanti a lui.","I would rather not say in front of him.","it","en","","","before, past"
"decifrare","decipher","Speravamo che potessi decifrare questi incartamenti.","We were hoping you could decipher these job sheets.","it","en","","","decrypt, crack"
"dedito","dedicated","Non sono discorsi da studioso dedito alla scienza.","That doesn't sound like the dedicated scientist talking.","it","en","","",""
"Del resto","moreover","Del resto, questi discorsi li faremo meglio a cavallo.","Moreover, we'll do this talk better on horse.","it","en","","","after all, besides"
"del tutto a","entirely at","Ciò è del tutto a loro discrezione.","This is entirely at their discretion.","it","en","","","altogether, entirely to"
"deluso","disappointed","Mai stato più deluso del mio governo.","I've never been more disappointed in my government.","it","en","","","failed, let down"
"demoralizzato","demoralized","Ora buttati su quel materasso demoralizzato e dormi.","Now get on that demoralized mattress and go to sleep.","it","en","","",""
"deprimere","depress","Meglio così, perché iniziavate a deprimere la band.","Good, because you were starting to depress the band.","it","en","","","dishearten, dispirit"
"deprimersi","get depressed","Con un messaggio chiaro: non deprimersi, ma cambiare, volare, viaggiare.","With a clear message: do not get depressed, but change, flying, traveling.","it","en","","","mope, become depressed"
"deriva","comes","Ogni fitoplancton deriva da una località specifica.","Now, every phyto comes from a very specific location.","it","en","Una deriva preoccupante che Wonderful Copenaghen intende scongiurare con gentilezza e astuzia","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","derives, is derived"
"destare","arouse","Il modo più veloce per destare sospetto e quello di cambiare le abitudini.","The quickest way to arouse suspicion is to change routine.","it","en","","","cause, awaken"
"destrezza","dexterity","Ora devi mostrare ingegnosità e destrezza per uscirne.","Now you have to show ingenuity and dexterity to get out of them.","it","en","","","skill, agility"
"detestare","hate","Che potrebbe detestare lavorare con me?","That she'll hate working with me.","it","en","","",""
"devo informarmi","I must inquire","","","it","en","","",""
"di base","basic","I baccelli forniscono nutrienti di base agli occupanti.","Well, the pods provide basic nutrients to their occupants.","it","en","","","base, core"
"di chi è?","whose is it?","Ma questa stanza... di chi è?","But, this room... whose is it?","it","en","","","whose it is?, whose car is it?"
"di colpo","suddenly","Anch'io di colpo ho perso l'appetito.","I guess I'm like you. I... I suddenly lost my appetite, too.","it","en","","",""
"di fila","in a row","Sarebbe la decima volta di fila.","It's like your 10th time in a row.","it","en","<div class=""calibre6"">","https://classroom.italki.com/r/8114385678","at a time, in succession"
"di fronte a","in front of","Eppure detesto vederlo screditato di fronte a tutti.","Still, I hate to see him disgraced in front of everyone.","it","en","","","in the face of, opposite"
"di mattina","in the morning","Siamo andati dal dottore di mattina.","We went to the doctor in the morning.","it","en","","","a.m., in the mornin"
"di quando in quando","from time to time","","","it","en","","",""
"di quando in quando","from time to time","di quando in quando","from time to time","it","en","","",""
"di scatto","suddenly","Si voltò di scatto e corse via nel frutteto.","He turned suddenly and sped off farther into the orchard.","it","en","","https://classroom.italki.com/r/3121345678","abruptly, jerky"
"di tanto in tanto","from time to time","Magari potrai prestarmelo di tanto in tanto.","Maybe you'll let me borrow it from time to time.","it","en","","",""
"diafano","diaphanous","Al secondo piano abbiamo uno spazio diafano e una terrazza.","On the second floor we have a diaphanous space and a terrace.","it","en","","","transparent, alabaster"
"dietro","behind","Vediamo che succede dietro quelle tende.","See what's going on behind those curtains.","it","en","","","back, around"
"dietro di","behind","Sta combinando qualcosa dietro di lui.","He's messing with something behind his back.","it","en","","","after, back of"
"diffidente","wary","Questo perché ti ho insegnato ad essere cauta, diffidente.","That's because I raised you to be cautious, wary.","it","en","","https://classroom.italki.com/r/6359326278","suspicious, distrustful"
"diffondere","spread","Sarebbe meglio diffondere questo aspetto! ...","It is necessary to spread this view better! ...","it","en","","","disseminate, diffuse"
"diffondersi","spread","Ha già cominciato a diffondersi nell'utero.","It has already started to spread in the uterus.","it","en","","","diffuse, grow"
"dipanarsi","unfold","Ciò che per lui conta più di tutto è l'arco intero della storia salvifica, che continua a dipanarsi tra gli oscuri meandri del tempo.","What counted for him more than anything was the entire arch of salvation history, that continues to unfold in the obscure meanderings of time.","it","en","","","unraveling, unravelling"
"diritto","right","Non hai il diritto di barattarla.","And you do not have the right to use it for currency.","it","en","","","law, entitlement"
"disagio","discomfort","Pare volesse provocarti il massimo disagio.","Looks like he wanted to cause you maximum discomfort.","it","en","","","inconvenience, distress"
"discesa","descent","Stiamo iniziando la discesa nel centro nevralgico.","We're beginning the descent to the nerve center.","it","en","","","downhill, slope"
"discutere","discuss","Dovevamo discutere un'importante iniziativa politica.","He and I were supposed to discuss a major policy initiative.","it","en","","",""
"discutibile","questionable","Non puoi giudicare il mio giudizio discutibile.","You don't get to judge my questionable judgment.","it","en","","","debatable, controversial"
"disegnare","draw","È tremendamente intricato da disegnare se stai morendo.","It's awfully intricate to draw as you're dying.","it","en","","","design, sketch"
"disincanto","disenchantment","Le sue fotografie sono tinte di malinconia, ma al tempo stesso di coraggioso disincanto.","His photographs are tinted with melancholic, yet brave disenchantment.","it","en","","","disillusionment, disillusion"
"disinvolta","casual","Un'atmosfera vivace e disinvolta pervasa dal profumo di prodotti mediterranei.","A lively, casual atmosphere, permeated by magnificent scents of Mediterranean products.","it","en","","","relaxed, nonchalant"
"disinvoltura","ease","Solo la disinvoltura con cui l'hai fatto.","Only the ease with which you did it.","it","en","","",""
"dissotterrato","dug up","Lo abbiamo sotterrato e dissotterrato tutto il giorno.","Harry's been buried and dug up on and off all day long.","it","en","","","unearthed, disinterred"
"distaccare","detach","Forse riusciremo a distaccare un'unità...","There's a chance we can detach a unit...","it","en","","","second, separate"
"distaccarsi","break away","Bisogna avere la forza di distaccarsi.","You have to have the strength to break away.","it","en","","","be detached, become detached"
"distacco","detachment","Anche quando protestate è importante avere un assoluto distacco.","In protest also is important to absolutely to have a complete detachment.","it","en","","","posting, gap"
"distanza","distance","È difficile stabilire la distanza da terra.","I find it difficult to judge any distance from the ground.","it","en","","","away, range"
"districarsi","extricate oneself","Naturalmente, il modo di districarsi da questa situazione è quello di sviluppare un approccio diverso.","Naturally, the way to extricate oneself from this predicament is to develop a different approach.","it","en","","","unravel, disentangle"
"diventare","become","Voglio diventare un meccanico, mamma.","I want to become a mechanic, mother.","it","en","","","get, make"
"diversamente","otherwise","Non ha neanche pensato di fingere diversamente.","It didn't even occur to the guy to pretend otherwise.","it","en","","",""
"diversi","different","BRACK.CH presenta oltre 200'000 prodotti diversi.","At BRACK.CH, you will find more than 200,000 different products.","it","en","","","several, various"
"divieto","ban","Per impedire le pratiche in questione è necessario imporre un divieto.","In order to prevent the practices in question, it is necessary to impose a ban.","it","en","","","prohibition, banning"
"divorante","devouring","Immagino un vortice divorante, tutte le parole che spariscono nell'oscurità.","I imagine a devouring vortex, all the words disappearing into the darkness.","it","en","","","all-consuming, consuming"
"divorare","devour","Ho visto prigionieri divorare i cadaveri dei propri compagni.","I saw prisoners devour the corpses of their comrades.","it","en","","","eat, gobble up"
"dolcificante","sweetener","Sto piangendo perché è finito il dolcificante.","I am crying because we're out of sweetener.","it","en","","","sugar substitute, sweetening"
"dopo aver preso","after taking","Sono ancora un po' nervoso dopo aver preso la pillola magica.","I'm still a bit jittery after taking the magic pill.","it","en","","","after having taken, after getting"
"dotare di","equip with","La casa è ben dotare di tutte le cose che ti servono per le vacanze.","The house is well equip with all necessary things you need for vacation.","it","en","","","equip themselves with, provide"
"dunque","therefore","E dunque l'università non è responsabile.","And, therefore, the university isn't liable.","it","en","","","thus, then"
"durare","last","Cioè, dovrebbe durare un giorno.","I mean, it's supposed to last a day.","it","en","","",""
"durevole","durable","È antiossidante, anti-indurimento e durevole.","It is antioxidant, anti-hardening, and durable.","it","en","","","lasting, sustainable"
"è così che funziona","that's how it works","Perché è così che funziona laggiù.","Because that's how it works over there.","it","en","è così che funziona","https://classroom.italki.com/r/1644320968","this is how it works, that's how it goes"
"è fattibile","is feasible","Sto valutando i rischi di mandarlo al funerale del figlio, vedo se è fattibile.","I was doing a threat assessment to see if a trip to his son's funeral is feasible.","it","en","","","it's doable, is doable"
"è pari a zero","is zero","Il periodo di sospensione per ovini e bovini è pari a zero giorni.","The withdrawal period for both sheep and cattle is zero days.","it","en","è pari a zero","https://classroom.italki.com/r/8111385678","shall be zero, is nil"
"è uguale","is equal","La moglie è uguale al marito nella relazione coniugale.","The wife is equal to her husband within a marital relationship.","it","en","","https://classroom.italki.com/r/9129335678","equals, is the same as"
"ebbrezza","thrill","Immaginate l'ebbrezza di stare su questo palco, acclamato da migliaia di persone.","Imagine the thrill of standing on this stage, cheered by thousands.","it","en","","",""
"echeggiare","echo","Udii come un echeggiare strepitoso di tuoni.","I heard as a to echo uproarious of thunders.","it","en","","",""
"eludere","evade","Non puoi rispondere, dovrai manovrare ed eludere.","You can not answer, you will have to maneuver and evade.","it","en","","",""
"emergere","emerge","Una creatura diversa sembrava emergere dalle acque.","A different creature seemed to emerge from the waters.","it","en","","",""
"ennesimo","umpteenth","È l'ennesimo tablet sul mercato.","It's the umpteenth tablet in the market.","it","en","","",""
"entrare in contatto","get in touch","Vorrei entrare in contatto col donatore.","I would like to get in touch with the donor.","it","en","","","come into contact, get in contact"
"entro","within","Spero che partiremo entro mezz'ora.","I hope that we shall leave within half an hour.","it","en","","","before, until"
"entro breve","shortly","Dovremmo essere in grado di riutilizzarlo entro breve.","We should be able to get under way again shortly.","it","en","","","soon, before long"
"entro certi limiti","within certain limits","E opportuno che alcune operazioni o determinate spese siano autorizzate in via temporanea o entro certi limiti.","Certain operations and expenditure should be permitted temporarily or within certain limits.","it","en","","","to some extent, to a certain extent"
"entro la fine","by the end","Annegheremo nelle pratiche entro la fine della giornata.","We'll be drowning in paperwork by the end of the day.","it","en","entro la fine","https://www.italki.com/message/conversation/8139489","at the end, up to the end"
"entroterra","hinterland","Un veicolo privato è dovuto alla posizione nell'entroterra altamente raccomandato.","A private vehicle is due to the location in the hinterland highly recommended.","it","en","","","inland, interior"
"epoca","time","Non avevamo abbastanza prove all'epoca.","We just didn't have enough evidence at the time.","it","en","","","era, period"
"eppure","and yet","Insomma, sono così intelligenti eppure...","I mean, they are just so smart, and yet...","it","en","","","though, although"
"equivoco","misunderstanding","A parte quel possibile equivoco linguistico.","Except for that... possible... word misunderstanding.","it","en","C'è stato un equivoco durante la riunione e nessuno sapeva cosa fare","https://classroom.italki.com/r/8114385678","misconception, mistake"
"erbacce","weeds","Le erbacce cresceranno e ricopriranno questo posto.","The weeds will grow up and take the place over.","it","en","","","weedy, unwanted plants"
"eredità","legacy","Non credo nella storia dell'eredità familiare.","I don't believe in that family legacy stuff.","it","en","","https://classroom.italki.com/r/1357326278","heritage, inheritance"
"ereditato","inherited","Sembra aver ereditato la sua diplomazia.","You seem to have inherited his touch for diplomacy.","it","en","","",""
"ereditiera","heiress","Sarò impegnata e tu dovresti trovare una piccola ereditiera da affascinare.","I shall be otherwise engaged, and you need to find yourself a pretty little heiress to charm out of her petticoat.","it","en","","https://classroom.italki.com/r/1357326278","..."
"esaurire","exhaust","Non vorrei esaurire la tua pazienza.","I don't want to exhaust your good will.","it","en","","","run out, deplete"
"esemplificare","exemplify","Bisogna esemplificare varie iniziative intraprese dalle scuole italiane per sensibilizzare il corretto comportamento da parte di tutti gli studenti.","We must exemplify various initiatives undertaken by Italian schools to raise awareness of the correct behavior of all students.","it","en","","","illustrate, example"
"esigente","demanding","Sappiamo e comprendiamo che l'industria farmaceutica è molto esigente.","We know and understand that the pharmaceutical industry can be quite demanding.","it","en","","","discerning, picky"
"esigenza","need","Cionondimeno oggi si avverte l'esigenza pressante di rilanciare questo processo.","Nonetheless, today, there is an urgent need to give new impetus to this effort.","it","en","","","requirement, demand"
"esilio","exile","Diventerà un esilio solo se non ritornerò.","It only becomes exile if I don't return.","it","en","","","banishment, captivity"
"esitazione","hesitation","Non è tempo di timidezza o esitazione.","This is not the time for timidity or hesitation.","it","en","","","hesitancy, doubt"
"esito","outcome","Speriamo che il confronto abbia buon esito.","Let's hope the confrontation has a good outcome.","it","en","","","result, success"
"esortativo","exhortative","Sono state tratte dai nastri magnetici nel 1996 e mantengono il suo stile colloquiale ed esortativo.","These were transcribed from magnetic tapes in 1996 and retain their conversational and exhortative style.","it","en","","","exhortatory, hortatory"
"esposta","exposed","Se vengo esposta, mi ammalerò.","If I'm exposed, I'll catch it.","it","en","","",""
"essere a conoscenza","be aware","È necessario essere a conoscenza quando avviene la serializzazione.","You just have to be aware of when the serialization is happening.","it","en","","","be familiar, have knowledge"
"essere di fretta","be in a hurry","E ricorda, queste sono aree di crisi, non dati fiscali o seggi elettorali - queste mappe saranno lette da gente che può essere di fretta, al buio, o in pericolo.","And remember, these are crisis areas, not tax records or voting districts - these maps will be read by people who may be in a hurry, in the dark, or in danger.","it","en","","","been in a rush, be hurry"
"essere disposti a","be willing to","Basta essere disposti a concentrarsi sul lavoro.","You just have to be willing to focus on the work.","it","en","","https://classroom.italki.com/r/7643320968","be prepared to, be ready to"
"essere in fuga","be on the run","Dopo l'incontro al buio, potrebbe essere in fuga.","After our encounter in the dark, he might be on the run.","it","en","","","you're on the run"
"estenuante","exhausting","Può essere estenuante vivere sempre con un genio.","It can just be exhausting being around a genius all the time.","it","en","","",""
"esterno","outside","Assicurati di arrivare sull'esterno, ragazzo.","Let's make sure you get to the outside, son.","it","en","","","external, outdoor"
"estraneità","strangeness","La fine di ogni divisione, della separazione e del disagio dell'estraneità tra fratelli e sorelle umani.","The end of all divisiveness, separation and uncomfortable strangeness between human brothers and sisters.","it","en","","","extraneousness, estrangement"
"estraneo","stranger","Un estraneo potrebbe pensare che sia divertente.","A stranger probably wouldn't think it is funny.","it","en","","",""
"estro","inspiration","L'estro creativo si esprime nella sua forma più piena.","Creative inspiration is expressed in its highest form.","it","en","","","flair, creativity"
"fallimento","failure","E sarai un totale schifoso fallimento.","And you'll be a total bloody failure.","it","en","","",""
"fallire","fail","Se dovessi fallire, mi dimetterò.","If I should fail, I will stand down.","it","en","","","bankrupt, miss"
"familiare","family","Allora esaminiamo l'ambiente familiare dei bambini.","Let's examine the family background... of the donor.","it","en","","","familiar, family-run"
"far fatica","to struggle","Purtroppo anche qui il personale non parla inglese quindi continuiamo a far fatica a comunicare.","Unfortunately, even here the staff does not speak English so we continue to struggle to communicate.","it","en","","","have trouble, find it difficult"
"faraglione","cliff","Proprio su quest'ultimo faraglione vive la famosissima lucertola azzurra.","The very famous blue lizard lives on this last cliff.","it","en","","","sea stack, Nikolayevka"
"fare capire","make understand","Alla fine di molti concerti la scopro, per fare capire che non io taccio per mancanza di rispetto o altro.","In the end of several concerts I show it, just to make understand that I'm not silent for lack of respect or what else.","it","en","","","make people understand, make it clear"
"fare caso a","pay any attention to","Caro genero, non fare caso a lei.","My dear son-in-law, don't pay any attention to her.","it","en","","","take any notice of, ..."
"fare di tutto","do everything","Possiamo fare di tutto come vuoi...","We can do everything the way you want...","it","en","","","do anything, do whatever it takes"
